"","total_time","spawn_time","image_time","instance_time","concurrent_instances","virt","ostime"
"1",27261,21154,19130,725,10,"docker",6107
"2",27503,19984,18910,305,10,"docker",7519
"3",27532,21017,19400,586,10,"docker",6515
"4",27793,20818,19011,920,10,"docker",6975
"5",27844,19808,18737,239,10,"docker",8036
"6",27888,20604,18826,686,10,"docker",7284
"7",27958,21392,19202,396,10,"docker",6566
"8",28046,20970,18624,887,10,"docker",7076
"9",28387,22550,21923,104,10,"docker",5837
"10",28838,22835,22448,88,10,"docker",6003
"11",20783,20448,18962,669,20,"docker",335
"12",32883,19913,18550,628,20,"docker",12970
"13",32989,19158,18152,130,20,"docker",13831
"14",33552,20799,19955,268,20,"docker",12753
"15",33887,21591,20112,405,20,"docker",12296
"16",33877,21503,20483,193,20,"docker",12374
"17",34805,23809,22034,425,20,"docker",10996
"18",36629,23542,22143,485,20,"docker",13087
"19",36627,24129,22016,127,20,"docker",12498
"20",36969,24763,22280,414,20,"docker",12206
"21",36822,23973,21539,251,20,"docker",12849
"22",36999,23356,21877,644,20,"docker",13643
"23",37214,23054,21691,428,20,"docker",14160
"24",37272,24252,22338,768,20,"docker",13020
"25",37081,23488,21254,1447,20,"docker",13593
"26",36997,23793,21840,392,20,"docker",13204
"27",36967,24017,22294,364,20,"docker",12950
"28",37350,25801,23078,698,20,"docker",11549
"29",37509,24182,22089,245,20,"docker",13327
"30",37374,25039,22537,382,20,"docker",12335
"31",15250,12405,13409,491,30,"docker",2845
"32",30737,12406,10548,635,30,"docker",18331
"33",31990,14882,14241,210,30,"docker",17108
"34",31844,12538,11217,347,30,"docker",19306
"35",33356,14467,12978,819,30,"docker",18889
"36",35614,19147,18306,223,30,"docker",16467
"37",35279,17209,15957,490,30,"docker",18070
"38",35651,17266,15472,459,30,"docker",18385
"39",35453,17119,15506,476,30,"docker",18334
"40",35687,16437,14947,261,30,"docker",19250
"41",36965,18986,18165,165,30,"docker",17979
"42",36707,18005,16917,231,30,"docker",18702
"43",37517,18690,16830,418,30,"docker",18827
"44",39332,22602,21240,774,30,"docker",16730
"45",39022,19827,18414,318,30,"docker",19195
"46",38962,20509,19022,471,30,"docker",18453
"47",39729,21210,19946,299,30,"docker",18519
"48",39553,19936,18299,244,30,"docker",19617
"49",39696,20074,18312,376,30,"docker",19622
"50",39938,22339,20969,554,30,"docker",17599
"51",41536,23536,21293,195,30,"docker",18000
"52",41291,23118,21287,331,30,"docker",18173
"53",41476,23171,21575,289,30,"docker",18305
"54",41330,22334,20406,566,30,"docker",18996
"55",41605,21418,19928,440,30,"docker",20187
"56",41837,22028,20542,282,30,"docker",19809
"57",42121,23324,21877,421,30,"docker",18797
"58",41601,22709,20231,177,30,"docker",18892
"59",42194,23130,21710,284,30,"docker",19064
"60",41675,22172,20513,381,30,"docker",19503
