"","boot_time","instances","virt","tomcat_time"
"1",0.67,5,"docker",736
"2",0.72,5,"docker",1021
"3",0.68,5,"docker",782
"4",0.67,5,"docker",998
"5",0.66,5,"docker",1203
"6",0.64,10,"docker",704
"7",0.67,10,"docker",737
"8",0.7,10,"docker",714
"9",0.68,10,"docker",899
"10",0.63,10,"docker",1072
"11",0.65,10,"docker",522
"12",0.71,10,"docker",769
"13",0.65,10,"docker",537
"14",0.67,10,"docker",660
"15",0.63,10,"docker",776
"16",0.69,20,"docker",1022
"17",0.64,20,"docker",871
"18",0.65,20,"docker",1186
"19",0.68,20,"docker",806
"20",0.68,20,"docker",1026
"21",0.63,20,"docker",694
"22",0.66,20,"docker",1009
"23",0.65,20,"docker",1039
"24",0.69,20,"docker",656
"25",0.68,20,"docker",755
"26",0.66,20,"docker",837
"27",0.63,20,"docker",1012
"28",0.68,20,"docker",705
"29",0.69,20,"docker",1087
"30",0.66,20,"docker",561
"31",0.69,20,"docker",767
"32",0.68,20,"docker",832
"33",0.64,20,"docker",833
"34",0.64,20,"docker",816
"35",0.63,20,"docker",772
"36",0.7,30,"docker",721
"37",0.64,30,"docker",726
"38",0.71,30,"docker",701
"39",0.69,30,"docker",695
"40",0.62,30,"docker",894
"41",0.66,30,"docker",1064
"42",0.65,30,"docker",1181
"43",0.62,30,"docker",892
"44",0.86,30,"docker",742
"45",1.02,30,"docker",805
"46",0.64,30,"docker",682
"47",0.68,30,"docker",733
"48",0.66,30,"docker",695
"49",0.68,30,"docker",577
"50",0.71,30,"docker",578
"51",0.64,30,"docker",556
"52",0.69,30,"docker",700
"53",0.67,30,"docker",1021
"54",0.66,30,"docker",959
"55",0.66,30,"docker",910
"56",0.74,30,"docker",882
"57",0.63,30,"docker",590
"58",0.67,30,"docker",544
"59",1.49,30,"docker",900
"60",0.64,30,"docker",667
"61",0.63,30,"docker",613
"62",0.69,30,"docker",764
"63",0.65,30,"docker",813
"64",0.63,30,"docker",1028
"65",0.72,30,"docker",1229
