total_time;spawn_time;image_time;domain_time;instances
34813;20071;16891;1446;30
67073;0;0;187;30
74963;0;0;657;30
84676;0;0;672;30
92471;0;0;512;30
102057;0;88826;548;30
108550;91979;86293;621;30
108844;91291;87916;389;30
109189;93025;89001;187;30
114579;90511;87535;656;30
118597;100686;97554;662;30
118307;100479;95921;1020;30
118468;98072;94738;603;30
118658;99866;95979;1179;30
118361;97634;92596;566;30
118575;98731;92072;675;30
119005;100076;97900;750;30
118733;98080;92642;381;30
119032;101313;97818;1248;30
118588;98853;94904;205;30
118975;100683;96951;1549;30
119001;99823;93079;4163;30
118954;101911;96584;866;30
119271;99255;96716;469;30
119076;101293;96838;568;30
119392;101047;97606;1276;30
119713;99251;94929;673;30
119655;101355;98550;1186;30
119215;100773;96731;355;30
119385;101707;96087;1001;30
