boot_time;tomcat_time;instances
8520.00;1837;5
9160.00;1781;5
8570.00;1878;5
7690.00;1739;5
7800.00;1698;5
7080.00;1255;10
7250.00;1336;10
7250.00;1491;10
7300.00;1336;10
6940.00;1284;10
6870.00;1256;10
6680.00;1349;10
7040.00;1464;10
6780.00;1497;10
6620.00;1329;10
8590.00;1150;20
17910.00;2062;20
17910.00;2036;20
8800.00;1215;20
8300.00;1343;20
8700.00;1177;20
17960.00;2074;20
18170.00;2059;20
9150.00;1293;20
18010.00;2036;20
8420.00;1237;20
8320.00;1179;20
18260.00;2212;20
18440.00;2197;20
9590.00;1371;20
17690.00;2081;20
8540.00;1189;20
9250.00;1356;20
18210.00;2030;20
18280.00;2063;20
22300.00;6268;30
28340.00;2082;30
22470.00;5887;30
8580.00;2044;30
28300.00;3870;30
8830.00;1459;30
8470.00;1878;30
22380.00;6604;30
28300.00;2195;30
9190.00;1674;30
29000.00;1673;30
22250.00;6164;30
8920.00;1214;30
27780.00;2185;30
21960.00;6633;30
28090.00;2181;30
8660.00;1268;30
24340.00;5037;30
8900.00;1922;30
28160.00;2062;30
29320.00;1804;30
27650.00;2181;30
8950.00;2091;30
8790.00;1201;30
22480.00;6577;30
8890.00;1851;30
22400.00;6202;30
22420.00;6578;30
29110.00;2197;30
22390.00;6129;30
