total_time;spawn_time;disk_info_time;get_xml_time;image_download_time;image_convert_time;image_copy_time;image_create_time;instance_time;concurrent_instances
13925;5480;6;1588;1070;138;142;66;1672;20
20904;10726;6;4892;1308;290;386;149;2134;20
6884;3664;19;570;956;222;197;89;1155;20
18061;11264;17;2806;1063;232;179;77;2356;10
18579;11653;9;3359;982;286;314;144;2282;10
18328;11552;8;2947;1000;227;166;75;2370;10
15174;3666;10;582;1042;202;165;70;1047;30
10677;3632;7;601;1032;257;168;71;1002;30
23982;10014;9;5128;1072;248;165;63;1792;30
10496;3567;6;545;1103;221;158;63;985;30
